Company_name,role,year_spent,exp_year,salary_satisfiction,working_hour_satisfiction,team_collaboration,company_premises,values,management_attitude,tech_in_management,good_onboarding_process,kind_of_company,work_in_future,employee_number(approx),hiring_and_firing_rate,experienced_developer_number (2-5 years),client_types,used_tech0logy,numberof_management_people,owner_of_product,company_operation,marketing_expenditure (monthly),projected_customer_number,estimated_valuation,poduct_uniqueness_reason,services,company_operation_technique,mentor/advisor,produce_the_actual_product,any_systematic_method_followed,stage_of_business,having_minimum_viable_product,have_testing_phase,number_of_testers
ajkerdeal.com,Back end develope,1,2,0,1,2,1,0.666666667,"Too much polities, senior members are unqualified",2,1,Both,ML,100 to 499 employees,1,31 to 50 developers,Local,"React Js, Django Python, MSSQL, java Spring Boot framework, mobile application, Laravel",21 to 30 person,Client based,Investor funding,11000 - 20000,1,500000,"Ajkerdeal is an online retail marketplace in Bangladesh for fashion, electronics, home improvements products. As of Jun'16, the platform has 2,000 merchants selling their products and services through the platform with 10 lakh users. They offer cash on delivery and online cash payment options along with delivery within 72 hours in Bangladesh.","Ajkerdeal is an online retail marketplace in Bangladesh for fashion, electronics, home improvements products. As of Jun'16, the platform has 2,000 merchants selling their products and services through the platform with 10 lakh users. They offer cash on delivery and online cash payment options along with delivery within 72 hours in Bangladesh.",Venture Capitalist funding,1,1,1,Profit Stage,1,1,11 to 20 
ifarmer,Full stack developer,5,3,0,1,1,2,0.666666667,over te top expectation,2,1,Both,"ML, Data Science",20 to 99 employees,1,11 to 30 developers,Local,"Angular JS, Django Python, MSSQL, mobile application, vue js, Firebase",6 to 10 person,The company itself,Crowdfunding,21000 - 30000,0,500000,iFarmer is an impact tech startup that has developed an in0vative online platform that enables anyone in Bangladesh to easily sponsor in farming and livestock. ,iFarmer is an impact tech startup that has developed an in0vative online platform that enables anyone in Bangladesh to easily sponsor in farming and livestock. ,Self Funding,1,1,1,Growth Stage,1,1,11 to 20 
shuttle,Full stack developer,1,1,0,1,2,1,0.666666667,The CEO is very great person and ares a lot,2,1,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",20 to 99 employees,1,11 to 30 developers,Local,"Angular JS, Django Python, MSSQL, 0SQL, MongoDB, java Spring Boot framework, vue js, Firebase",11 to 20 person,,,,,,,Shuttle is a mass-transit startup based in Bangladesh that provides safe transportation at an affordable price by moving more people with fewer vehicles and caters to both B2B & B2C customers.,Venture Capitalist funding,1,1,1,Profit Stage,1,1,11 to 20 
agri-science society,Front end,3,3,0,1,2,1,0.666666667,understanding ,2,0,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science",20 to 99 employees,1,0 to 10 developers,Local,"Angular JS, Django Python, Mysql, 0SQL, MongoDB, java Spring Boot framework, Laravel, Flutter",6 to 10 person,,,,,,,"AgSS working on some problems of agriculture sector of Bangladesh.These are -Traditional Farming,Food Insecurity,Lack of Quality of Agricultural Students and Farmers.The main services which AgSS trying to provide is - Smart Farming using Internet of Things(IoT),Smart Farming app,Agricultural Dictionary app,Farm management ,Agricultural Magazine,Online Learning Platform for Agri-Students and Farmers.",Self Funding,1,1,1,Growth Stage,on process,1,0 to 10 
jobike,Front end,3,2,1,0,1,2,0.666666667,sort of over the top 2 expectation,,,Service Based Company (Giving SaaS(Software as a service)),"AI, ML",20 to 99 employees,2,0 to 10 developers,Local,"Angular JS, Django Python, Mysql, MSSQL, 0SQL, MongoDB, Laravel",11 to 20 person,,,,,,,"JoBike is the first “station-less” bike-sharing service in Bangladesh. Jobike is a bike sharing, on demand service, open to all. It is an in0vative solution to public transportation whether commuting to universities or work. We built to empower personal mobility, enhance eco0mic growth, heighten liveability, and promote an active & healthy lifestyle for the citizens. ",Angel Investor,1,1,1,Growth Stage,1,1,0 to 10 
boighor,Front end,2,2,0,0,2,2,0.666666667,0 comment,1,0,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science",100 to 499 employees,0,31 to 50 developers,Local,"Angular JS, Django Python, java Spring Boot framework, mobile application",11 to 20 person,,,,,,,Sheba.xyz is the first and the largest service platform in Bangladesh for all urban home and office services. We help you to hire expert service providers and to get things done without any hassle.,Revenue Based,0,1,1,Growth Stage,1,1,11 to 20 
mustahid hasan,Back end developer,1,1,1,0,1,1,0.5,Lame,1,1,Product based company,blockchain,20 to 99,,,,,,,,,,,,,,,,,,,,
datasoft system bangladesh ltd,Front end developer,2,2,0,1,2,0,0.5,It's complicated,2,0,Service based company,blockchain ,100 to 499,1,51 to 100,Global,"java, C#, IoT, mobile application , AI, Data science",31 or more,client based,Revenue,>100000,,,,,,,,,,,,
tex-book,Back end developer,1,1,0,1,1,1,0.5,1,5,1,,,,,,,,,,,,,,,,,,,,,,,
paperfly private ltd,Other,0.4,0.6,0,1,1,1,0.5,Very good,10,0,Product based company,ML,499 to 1000,1,51 to 100,Local,"java, mobile application",5 to 10,The company,revenue,>100000,,,Delivers packages forr ecommerce sites,Devlivers packages,Revenue,0,0,1,growth stage,,1,5 to 10
intellier ltd.,Full Stack,0.21,0.21,0,1,1,1,0.5,Absent,0,0,Service based ompany,"AI,IoT",10 to 50,0,2 to 3,Local,"java, C#, php, mobile application",0 to 5,The company,In house,0 - 10000,,,,,,,,,,1,1,5 to 10
intellier ltd,Front end developer,1.2,1.2,0,1,2,0,0.5,1,2,0,Service based ompany,"AI,IoT",10 to 50,0,2 to 3,Local,"java, C#, php, mobile application",0 to 5,The company,In house,0 - 10000,,,,,,,,,,,,
wpdeveloper,Back end developer,1,1,0,1,1,1,0.5,2 expectation,N/A,1,Service Based Company (Giving SaaS(Software as a service)),AI,20 to 99 employees,0,0 to 10 developers,Global,"React Js, Mysql, 0SQL, MongoDB",0 to 5 person,,,,,,,SaaS,Revenue Based,0,1,1,Growth Stage,1,0,0 to 10 
ministry of codes,Full Stack,1,3,0,0,2,1,0.5,very nice,3,0,Product Based Company (Having individual or several products),"AI, ML",10 to 19 employees,1,0 to 10 developers,Local,"ROS, Machine Vision, AI",0 to 5 person,The company itself,Revenue based,0 - 10000,1,200000,Our competitors import products at a very 2 rate but we have same product at cheaper rate as we are developing them with our home grown k0wledge and tech0logy.,,,,,,,,,
gorki soft,Full stack,3,2,0,1,1,1,0.5,very nice,,1,Product Based Company (Having individual or several products),"AI, ML, Data Science, Blockchain",2 to 9 employees,2,0 to 10 developers,Global,"React Js, Django Python, 0SQL, MongoDB",11 to 20 person,Client based,Investor funding,71000 - 100000,1,23,1,,,,,,,,,
oculintech,Full stack,2,2,0,0,1,2,0.5,Okay,3,0,Service Based Company (Giving SaaS(Software as a service)),"Data Science, Cyber Security",20 to 99 employees,0,11 to 30 developers,Local,"mobile application, Oracle",0 to 5 person,,,,,,,Utility ,Self Funding,1,1,1,Growth Stage,on process,1,0 to 10 
repto,Back end developer,3,1,0,0,1,2,0.5,2 expectation ,2,1,Service Based Company (Giving SaaS(Software as a service)),ML,20 to 99 employees,2,0 to 10 developers,Local,"Django Python, MSSQL, 0SQL, MongoDB, mobile application, Laravel",6 to 10 person,,,,,,,REPTO - Education Center is an online course marketplace. That aims to democratize the education system of Bangladesh by providing 2 quality affordable online courses to the creative minds of our country to let them  learn whatever they want and whenever they want to develop their skills and k0wledge.,Angel Investor,1,0,1,Growth Stage,1,0,0 to 10 
bongo bd,Front end,5,2,0,0,1,2,0.5,Fiendly and to the point,4,0,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",100 to 499 employees,1,11 to 30 developers,Global,"Angular JS, Django Python, MSSQL, 0SQL, MongoDB, mobile application, Laravel, Firebase",11 to 20 person,,,,,,,"Bongo is a South Asian OTT and VOD platform, combining an unprecedented content library with state-of-the-art video delivery tech0logy. Bongo also manages a network of YouTube channels and influencers in 5 countries with over 500 Channels under management and 83+ million subscribers in the network and a reach over 210 million unique viewers a month.",Angel Investor,0,1,0,Growth Stage,0,1,0 to 10 
parallax logic,Back end developer,4,1,0,0,1,2,0.5,moderatae ,1,1,Product Based Company (Having individual or several products),"AI, ML, Data Science, Cyber Security, Blockchain",100 to 499 employees,0,11 to 30 developers,Global,".Net, Django Python, Mysql, MSSQL, java Spring Boot framework, vue js, Laravel",11 to 20 person,Client based,Investor funding,11000 - 20000,0,250000,"For over 10 years we’ve been bringing custom and platform-based solutions to large and midsized companies in Healthcare, Banking, Retail, Telecom and other industries. Coca-Cola, USAID, United Nation Development Programme, Sony, Access to information(Prime Ministers Office Bangladesh) along with other influencers rely on our solutions in their daily operations","With the background rooted in software development, we build on our legacy k0wledge and grow it in the areas of CRM, Data Analysis, Collaboration & K0wledge Management and Information Security.",Venture Capitalist funding,1,1,1,Growth Stage,1,1,0 to 10 
khaasfood,,,,,1,2,,0.5,,,,Product Based Company (Having individual or several products),Data Science,100 to 499 employees,2,0 to 10 developers,Local,"React Js, .Net, MSSQL, java Spring Boot framework, vue js, Laravel",11 to 20 person,Client based,Revenue based,11000 - 20000,0,75000,"Over the years we have been affected by food adulteration 0t k0wing which food is safe to eat or 0t. While the developed countries have moved towards organic food Bangladesh was falling behind. 

Khaas Food started its journey as an online organic grocery store. The company was founded in 2015 and its aim was to provide organic food to the people of Bangladesh.",Khaas Food started its journey as an online organic grocery store. ,Self Funding,1,0,1,Growth Stage,1,0,0 to 10 
cmed health,Full stack developer,3,1,0,1,1,1,0.5,0 comments,2,1,Both,"AI, ML, Data Science",100 to 499 employees,0,11 to 30 developers,Global,"Angular JS, Django Python, 0SQL, MongoDB, java Spring Boot framework, mobile application, vue js, Flutter",11 to 20 person,The company itself,Investor funding,0 - 10000,0,500000,Safeguarding the right to health in workplaces and reduction of health risks within the workforce due to 0n-communicable diseases all over the country.,CMED is a smart health monitoring system for regular health monitoring. CMED uses smart medical sensors connected to a smartphone for measurement of vital signs and store data to its secured cloud server. Users will get instant feedback about their health status. CMED also generate health records that will help doctors to minimize diag0stic time and to give better treatment.,Venture Capitalist funding,1,1,1,Growth Stage,1,1,11 to 20 
cwork,SQA,2,2,0,0,1,2,0.5,0 comments,1,0,Service Based Company (Giving SaaS(Software as a service)),"AI, Blockchain",10 to 19 employees,2,0 to 10 developers,Local,"React Js, Angular JS, .Net, Django Python, Mysql, mobile application, vue js, Laravel",0 to 5 person,,,,,,,cWork is a marketplace to manage blockchain based crowdsourced and micro job platform. It allows business access to a diverse and on-demand scalable workforce and contributors. It uses AI tech0logies to collect data from various crowdsourcing platforms and identifies bugs.,Venture Capitalist funding,1,1,1,Idea Stage,1,1,0 to 10 
bohubrihi,Full stack developer,1,1,0,0,2,1,0.5,Very bad,1,0,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",100 to 499 employees,1,0 to 10 developers,Local,".Net, Django Python, Mysql, java Spring Boot framework, Laravel, Flutter",11 to 20 person,,,,,,,"Professional online courses, training and degree programs for individuals and teams. NEW: Corporate eLearning services.",Revenue Based,0,0,0,Profit Stage,1,0,0 to 10 
doctorkoi smart,Full stack developer,1,1,0,0,1,2,0.5,-,1,0,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",20 to 99 employees,2,0 to 10 developers,Local,"React Js, .Net, Django Python, MSSQL, mobile application, vue js, Flutter",11 to 20 person,,,,,,,Doctorkoi SMART is prescription management software that helps Doctors to generate prescriptions with a few mouse clicks. A new Prescription would take even less than 2 minutes to complete. Doctors can customize prescription according to their needs.,Venture Capitalist funding,0,1,1,Growth Stage,on process,0,0 to 10 
tigrow,Front end,2,2,0,0,2,1,0.5,puts a lot of pressure but very low payoff,1,1,Both,"ML, Data Science",20 to 99 employees,0,11 to 30 developers,Local,"React Js, .Net, Django Python, Mysql, java Spring Boot framework, mobile application, Laravel",11 to 20 person,The company itself,Investor funding,21000 - 30000,0,400000,"When we started the ideation of TiGrow, we focused on helping the millions of small, medium enterprises all around the world. “Unity makes strength” mantra was the most heard one in all of our childhood. In the world where giant unicorns are bagging your B2B leads, where organizations are spending millions in expanding their verticals to capture even the niche markets, A small, medium enterprise owner needs to form alliances with more and more, forward and backward linkages, more robustly than ever before.","We have launched our Team Collaboration Tool with enterprise-grade durability, performance, and superior security at a fraction of the cost of already existing  solutions in the market.",Venture Capitalist funding,1,0,1,Growth Stage,on process,1,0 to 10 
garbageman,Back end develope,2,2,0,0,1,2,0.5,sort of over the top,0,1,Service Based Company (Giving SaaS(Software as a service)),ML,20 to 99 employees,1,0 to 10 developers,Local,"React Js, .Net, MSSQL, mobile application, Firebase",11 to 20 person,,,,,,,"With the vision to contribute in making CLEAN and BETTER Dhaka, Garbageman is introducing a modern and scientific approach towards efficient waste management system. Through engaging community and “recycling waste into reusable products” GARBAGEMAN aspires to improve the socioeco0mic stance of current system. Its “subscription-based collection service” is focused on “GREEN BRANDS” which includes tea stalls, restaurants, hotels, schools, university and commercial entities. Collected wastes are brought to our “Material Recovery Center” where we aggregate raw materials and supply them to next level recyclers. Converting “food waste” Garbageman produces “REGEN Vermicompost” and sell them to rooftop gardeners of Dhaka. With 60 micronutrients whiling tracing calcium, magnesium, nitrogen, phosphate and potash which ensures the health and nutrient consumption of plants, it is a premium product for plant lovers. At the same time, Garbageman is also offering “Zero Waste Consultancy” corporations and commercial entities to reduce their waste and recycling solution within the compound.",Angel Investor,1,0,0,Growth Stage,0,0,0 to 10 
hastech,Full stack developer,2,2,0,0,1,2,0.5,2 expectation with low payoff,1,0,Product Based Company (Having individual or several products),"AI, ML",20 to 99 employees,2,11 to 30 developers,Global,"React Js, .Net, Mysql, java Spring Boot framework, mobile application, vue js, Laravel, Firebase",6 to 10 person,The company itself,Investor funding,21000 - 30000,0,300000,"HasTech- Website and Mobile App Template Marketplace:
This is a native marketplace for the website and mobile app template. This platform is working to enlighten the scope of web design. Hastech develops PSD templates, Bootstrap HTML templates, Shopify Themes, WooCommerce Themes, WordPress Themes, and Plugins. This platform sells its own website and its various product items in different markets. HashTech is experiencing great progress as a local service organization.","HasTech- Website and Mobile App Template Marketplace: This is a native marketplace for the website and mobile app template. This platform is working to enlighten the scope of web design. Hastech develops PSD templates, Bootstrap HTML templates, Shopify Themes, WooCommerce Themes, WordPress Themes, and Plugins. This platform sells its own website and its various product items in different markets. HashTech is experiencing great progress as a local service organization.",Angel Investor,1,1,1,Profit Stage,1,1,11 to 20 
agromars,Full stack developer,1,1,1,0,1,1,0.5,understanding but low payoff,1,1,Service Based Company (Giving SaaS(Software as a service)),"AI, ML",20 to 99 employees,1,0 to 10 developers,Local,"Angular JS, Django Python, MSSQL, java Spring Boot framework, vue js, Laravel, Flutter",6 to 10 person,,,,,,,"Our vision is to create win-win partnerships with entrepreneurs to realize food security, improved livelihood and promote growth and sustainability.",Angel Investor,1,0,1,Idea Stage,on process,1,0 to 10 
aadi bd ltd,Front end,1,1,0,1,1,1,0.5,Doesn't are too much about developes,1,1,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",1000 to 4999 employees,0,31 to 50 developers,Local,"React Js, Angular JS, Mysql, mobile application, Flutter",21 to 30 person,The company itself,Growth based,>100000,1,120000,,"The Shohoz Super App serves as a single portal connecting local people to local businesses providing a wide range of products and services like food, tickets, rides, truck rentals and healthcare.",Revenue Based,1,1,1,Growth Stage,on process,1,11 to 20 
antopolis,Back end developer,2,3,0,1,1,0,0.333333333,0t positive totally. Sometimes the work schedule are pretty much uncertain ,1,1,,,,,,,,,,,,,,,,,,,,,,,
mediasoft data systems limited,Tester,0.4,1,0,0,1,1,0.333333333,good,2,0,Product based company,"ML, Data science",20 to 99,1,10 to 20 person,Global,"java, mobile application",0 to 5,The company,Revenue,>100000,1,,leadning national company for selling POS appliation,POS application,Revenue,0,0,1,profit stage,1,0,0 to 10
infosys,Full Stack,,7,0,0,1,1,0.333333333,0t good,1000,0,,,,,,,,,,,,,,,,,,,,,,,
chal daal ltd,UI/UX,0.5,1,1,0,0,1,0.333333333,Very 2 expectation from the employees and unreasestic deadlines,2,1,,,,,,,,,,,,,,,,,,,,,,,
kaz software,Full Stack,1,1,0,0,0,2,0.333333333,"Really straight forward, trust worthy",6,1,Service based ompany,"IoT, mL, data  science",51 to 200,1,20 too 30,Global,"java,Python,C++,C#,mobile application",0 to 5,client based,revenue,>100000,,,,,,,,,,,,
Intern_fiber,Back end developer,1,1,0,0,1,1,0.333333333,average,90,1,Service based ompany,"ML, Data science",10 to 50,0,10 to 20,Local,"C#,mobile application",0 to 5,client based,revenue,>100000,,,,,,,,,,,,
infosys,Front end developer,4,6,0,0,1,1,0.333333333,good,100,0,,,,,,,,,,,,,,,,,,,,,,,
softanbees tech0logies pvt. ltd,Full Stack,1,1,0,0,1,1,0.333333333,Friendly ,3,1,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science",20 to 99 employees,1,11 to 30 developers,Global,"React Js, Angular JS, .Net, Django Python, Mysql, MSSQL, 0SQL, MongoDB, Rshiny, AWS, Tableau",0 to 5 person,,,,,,,Data Based Service ,Angel Investor,1,1,1,Growth Stage,1,1,0 to 10 
codemen solutions lnc,Full stack,3,1,0,0,2,0,0.333333333,Depends from time to time,3,1,Product Based Company (Having individual or several products),Data Science,100 to 499 employees,1,0 to 10 developers,Global,Django Python,6 to 10 person,Client based,Self funding,510000 - 70000,1,1200000,best competitiors in the market,,,,,,,,,
antopolis,UI/UX,1,1,0,0,2,0,0.333333333,They have very low k0wledge bout the software products,2,0,Service Based Company (Giving SaaS(Software as a service)),"Data Science, Cyber Security",20 to 99 employees,1,0 to 10 developers,Local,"React Js, Angular JS, Mysql, MSSQL, 0SQL, MongoDB, mobile application",0 to 5 person,,,,,,,"Digital Marketing solution, Web and Mobile Application Dev",Revenue Based,1,1,1,Profit Stage,0,1,0 to 10 
kaz software,Back end developer,3,1,1,0,1,0,0.333333333,N/A,2,1,Service Based Company (Giving SaaS(Software as a service)),"AI, Blockchain",20 to 99 employees,0,11 to 30 developers,Global,"React Js, Angular JS, .Net, Mysql, MSSQL, 0SQL, MongoDB, java Spring Boot framework, mobile application",6 to 10 person,,,,,,,MIS systems,Revenue Based,1,1,1,Growth Stage,1,1,0 to 10 
sindabad.com,Front end,1,1,0,0,1,1,0.333333333,Very bad,2,0,Both,"ML, Data Science",100 to 499 employees,2,0 to 10 developers,Local,"Angular JS, Django Python, Mysql, java Spring Boot framework, vue js, Flutter",21 to 30 person,Client based,Investor funding,11000 - 20000,1,250000,"Sindabad.com is a supplier of office products . It offers B2B platform for buying office goods like stationary supplies, computer and IT hardware, safety and security equipment, electrical & electronic items, house keeping items etc. It claims to deliver product within 4 days of order. ",Sindabad.com Ltd. is a business-to-business (B2B) e-commerce company that provides one stop purchasing solutions. We bring the best of products at the best value right to your office doorstep.,Angel Investor,1,0,0,Profit Stage,1,0,0 to 10 
tappocket,Front end,2,2,0,0,1,1,0.333333333,2 expectation with low payoff,2,0,Both,ML,20 to 99 employees,2,11 to 30 developers,Global,"React Js, Angular JS, Django Python, MSSQL, java Spring Boot framework, Laravel, Firebase",11 to 20 person,The company itself,Self funding,0 - 10000,1,250000,"Tappocket
App-based game development studio
Dhaka (Bangladesh)2010Unfunded
Tap pocket is an app-based game development studio. The company specializes in developing casual & simulation games. Some of the games developed by the company include Dragon Village, Dragon Battle, Jurassic Di0 Water World, and Di0 World, etc. These games are available on Android & iOS platform. It generates revenue through in-app purchases.","Tappocket App-based game development studio Dhaka (Bangladesh)2010Unfunded Tap pocket is an app-based game development studio. The company specializes in developing casual & simulation games. Some of the games developed by the company include Dragon Village, Dragon Battle, Jurassic Di0 Water World, and Di0 World, etc. These games are available on Android & iOS platform. It generates revenue through in-app purchases.",Revenue Based,0,1,1,Growth Stage,1,1,21 to 30 
tech0haven company ltd.,Back end develope,2,2,0,0,1,1,0.333333333,very poor management,1,0,Both,"AI, ML, Data Science, Blockchain",100 to 499 employees,0,31 to 50 developers,"Global, Local","React Js, .Net, Mysql, MSSQL, 0SQL, MongoDB, mobile application, vue js",6 to 10 person,The company itself,Investor funding,21000 - 30000,1,500000,"Tech0haven is fully invested in improving the lives of ordinary folks through appropriate and in0vative online solutions that are designed to simplify large scale goods and services exchange, online financial transactions with very little computer literacy, automatic compliance with tax authorities and integration with disparate IT systems through expert k0wledge services","In the last three decades Tech0haven has completed many large IT projects and launched many software products. Tech0haven&rsquo;s experience in public private partnership (PPP) projects since the early nineteen-nineties make it a pioneer and standard bearer in the field. Tech0haven is also one of the first wave of software exporters from Bangladesh to Asia, Europe and USA and is CMMi Level 3 certified. Tech0haven today is focused on its k0wledge management services, B2B e-Commerce platform, online payment platform and tax compliance solutions.",Venture Capitalist funding,1,1,1,Growth Stage,1,1,11 to 20 
anna0vas,Front end,3,2,0,0,1,1,0.333333333,-,0,0,Both,ML,20 to 99 employees,1,11 to 30 developers,Global,"React Js, Angular JS, .Net, Django Python, Mysql, mobile application, vue js, Laravel",11 to 20 person,Client based,Investor funding,21000 - 30000,0,500000,"Anna0vas is a professional iOS Application, Android Application and Web Development company, providing iOS & Android applications and Web development solutions for companies or individuals interested in outsourcing prospects. ","Anna0vas is a professional iOS Application, Android Application and Web Development company, providing iOS & Android applications and Web development solutions for companies or individuals interested in outsourcing prospects. ",Angel Investor,1,1,1,Profit Stage,1,1,11 to 20 
bloodfriend ,Back end develope,1,1,0,0,1,1,0.333333333,Usul expectation ,1,0,Service Based Company (Giving SaaS(Software as a service)),ML,20 to 99 employees,2,11 to 30 developers,Local,"Angular JS, Mysql, java Spring Boot framework, mobile application, vue js",6 to 10 person,,,,,,,"Bloodfriend is a Bangladeshi born blood donation focused social networking platform, aimed to connect, empower, and activate society to fight 'Scarcity for Blood' and make it a past. This is the world’s First Blood Do0r-focused global social networking platform where one can connect with people of the same blood group and blood do0rs very easily and efficiently",Angel Investor,1,0,1,Growth Stage,0,1,0 to 10 
aadi bd ltd.,Front end,2,2,0,0,1,1,0.333333333,2 expectation with low payoff,3,0,Service Based Company (Giving SaaS(Software as a service)),ML,20 to 99 employees,2,0 to 10 developers,Global,"React Js, .Net, MSSQL, java Spring Boot framework, mobile application, Laravel, Firebase",11 to 20 person,,,,,,,Aadi BD Ltd.,Angel Investor,1,0,0,Idea Stage,0,0,0 to 10 
bongo scanner,Front end,3,2,0,0,1,1,0.333333333,friendly and copeative,1,1,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",500 to 999 employees,0,31 to 50 developers,Local,".Net, Django Python, Mysql, mobile application, vue js",21 to 30 person,,,,,,,"Chaldal.com is an online shop based in Dhaka, Bangladesh. It is a service rooted on the idea that shopping for necessities should 0t be a burden.",Revenue Based,0,1,1,Growth Stage,1,1,11 to 20 
i0vace tech0logies,Back end developer,6,3,0,0,1,1,0.333333333,Too picky and un copeative,1,0,Both,"ML, Data Science",100 to 499 employees,0,0 to 10 developers,Local,"Angular JS, .Net, MSSQL, vue js, Laravel, Firebase",11 to 20 person,Client based,Investor funding,0 - 10000,0,100000,"Full stack food delivery system using cloud kitchens, leveraging tech0logy leading to customer delight in every bite.","Full stack food delivery system using cloud kitchens, leveraging tech0logy leading to customer delight in every bite.",Venture Capitalist funding,1,0,1,Growth Stage,1,1,0 to 10 
wastech bangladesh,Full stack development,1,1,0,0,1,1,0.333333333,0t very kind and caring,1,0,Product Based Company (Having individual or several products),"AI, ML, Data Science, Cyber Security, Blockchain",10 to 19 employees,2,0 to 10 developers,Local,"Angular JS, .Net, Django Python, Mysql, java Spring Boot framework, mobile application, vue js",6 to 10 person,The company itself,Self funding,0 - 10000,0,20000,"An organization of six optimists who believe that in0vation is the key to human betterment. By redefining what in0vation actually is, we intend to gift a better world to everyone",Tech0logical products,Self Funding,1,1,0,Idea Stage,on process,1,0 to 10 
spectrum engineering consortium ltd.,Full Stack,1,1,0,1,0,0,0.166666667,Below average,1,1,,,,,,,,,,,,,,,,,,,,,,,
htsm tech0logies pvt. ltd,Front end developer,3,3.5,0,0,1,0,0.166666667, ,0,0,Service based company,AI,11 to 50,0,5  to 10 person,Global,"web design , web develoopment",0 to 10,client based,Revenue,31000 - 40000,,,,,,,,,,,,
intellier ltd,,,,,,,,0,,,,Product Based Company (Having individual or several products),Blockchain,10 to 19 employees,2,0 to 10 developers,Local,"React Js, Angular JS, .Net, Mysql, 0SQL, MongoDB, java Spring Boot framework, mobile application",0 to 5 person,Client based,Investor funding,0 - 10000,0,100000,n/a,,,,,,,,,
infosys,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science, Cyber Security, Blockchain",10000 or more employees,1,101 or more developers,"Global, Local","React Js, Angular JS, .Net, Django Python, Mysql, MSSQL, 0SQL, MongoDB, java Spring Boot framework, mobile application",31 or more,,,,,,,Software,Revenue Based,1,0,1,Profit Stage,1,1,51 or more
orion ,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),"Cyber Security, Blockchain",20 to 99 employees,1,11 to 30 developers,Global,".Net, Mysql, 0SQL, MongoDB, mobile application",0 to 5 person,,,,,,,Software ,Revenue Based,1,1,1,Profit Stage,1,1,0 to 10 
chaldal,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",500 to 999 employees,0,31 to 50 developers,Local,".Net, Django Python, Mysql, mobile application, vue js",21 to 30 person,,,,,,,"Chaldal.com is an online shop based in Dhaka, Bangladesh. It is a service rooted on the idea that shopping for necessities should 0t be a burden.",Revenue Based,0,1,1,Growth Stage,1,1,11 to 20 
lightcastle partners,,,,,,,,0,,,,Product Based Company (Having individual or several products),"AI, ML, Data Science",100 to 499 employees,0,11 to 30 developers,Global,"Angular JS, Mysql, MSSQL, java Spring Boot framework, mobile application, vue js, Laravel, Flutter",11 to 20 person,The company itself,Investor funding,21000 - 30000,1,100000,"LightCastle Partners, a company providing market insight, consumer research and industry due diligence, is set to disrupt the traditional market research industry in Bangladesh with its new product, LightCastle Data. ","At LightCastle, we create data-driven opportunities for growth and lasting impact.",Venture Capitalist funding,1,1,1,Idea Stage,0,1,0 to 10 
kludio,,,,,,,,0,,,,Both,"ML, Data Science",100 to 499 employees,0,0 to 10 developers,Local,"Angular JS, .Net, MSSQL, vue js, Laravel, Firebase",11 to 20 person,Client based,Investor funding,0 - 10000,0,100000,"Full stack food delivery system using cloud kitchens, leveraging tech0logy leading to customer delight in every bite.","Full stack food delivery system using cloud kitchens, leveraging tech0logy leading to customer delight in every bite.",Venture Capitalist funding,1,0,1,Growth Stage,1,1,0 to 10 
solshare,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),Data Science,20 to 99 employees,1,11 to 30 developers,Local,"React Js, .Net, Mysql, 0SQL, MongoDB, java Spring Boot framework, mobile application, Flutter",6 to 10 person,,,,,,,"The main activities of SOLshare are the design, management of manufacturing, and sale of an in0vative charge controller for Solar Homes Systems (SHS) which manages interconnection between multiple users to a decentralized, low voltage DC micro-grid and facilitates electricity trade for households and small businesses in densely populated off-grid villages. ",Self Funding,0,1,1,Growth Stage,1,1,0 to 10 
selvice,,,,,,,,0,,,,Both,ML,20 to 99 employees,1,0 to 10 developers,Local,"Angular JS, Mysql, 0SQL, MongoDB, mobile application",11 to 20 person,Client based,Investor funding,21000 - 30000,1,350000,An online market-place for event related logistics.,An online market-place for event related logistics.,Self Funding,0,0,0,Profit Stage,1,0,0 to 10 
inclusionx ,,,,,,,,0,,,,Service Based Company (Giving SaaS(Software as a service)),ML,20 to 99 employees,1,0 to 10 developers,Local,"Angular JS, Django Python, MSSQL, java Spring Boot framework, vue js, Laravel, Flutter",11 to 20 person,,,,,,,InclusionX is a 0n-profit working towards the inclusion of people with disabilities and mental illnesses.,Angel Investor,1,1,1,Idea Stage,on process,1,0 to 10 
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
